song,condition,vocal_rms_db_raw,vocal_rms_db_after_effect,rms_match_gain_db,mix_scale_db,mix_peak
Al_James_-_Schoolboy_Facination,compression_l2,-22.8,-28.56,5.76,0.0,0.9342
Angels_In_Amplifiers_-_I'm_Alright,reverb_l2,-22.91,-23.14,0.23,0.0,0.9539
Angels_In_Amplifiers_-_I'm_Alright,reverb_l3,-22.91,-18.69,-4.22,0.0,0.9047
Angels_In_Amplifiers_-_I'm_Alright,reverb_l4,-22.91,-14.3,-8.61,0.0,0.9133
Angels_In_Amplifiers_-_I'm_Alright,delay_l1,-22.91,-22.28,-0.63,0.0,0.9768
Angels_In_Amplifiers_-_I'm_Alright,delay_l2,-22.91,-21.74,-1.17,0.0,0.9267
Angels_In_Amplifiers_-_I'm_Alright,delay_l3,-22.91,-21.25,-1.66,0.0,0.9394
Angels_In_Amplifiers_-_I'm_Alright,delay_l4,-22.91,-20.81,-2.1,0.0,0.9957
Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l1,-22.91,-22.91,0.0,0.0,0.9893
Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l2,-22.91,-22.91,0.0,0.0,0.9903
Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l3,-22.91,-22.91,-0.0,0.0,0.9921
Angels_In_Amplifiers_-_I'm_Alright,bitcrush_l4,-22.91,-22.87,-0.03,0.0,0.9907
Angels_In_Amplifiers_-_I'm_Alright,compression_l1,-22.91,-25.51,2.6,0.0,0.9928
Arise_-_Run_Run_Run,original,-25.35,-25.35,0.0,0.0,0.9979
Arise_-_Run_Run_Run,bitcrush_l1,-25.35,-25.35,0.0,0.0,0.9978
Arise_-_Run_Run_Run,bitcrush_l2,-25.35,-25.35,0.0,0.0,0.9978
Arise_-_Run_Run_Run,bitcrush_l3,-25.35,-25.35,-0.0,0.0,0.9978
Arise_-_Run_Run_Run,bitcrush_l4,-25.35,-25.29,-0.06,0.0,0.9978
Arise_-_Run_Run_Run,compression_l1,-25.35,-27.1,1.75,0.0,0.9979
BKS_-_Bulldozer,original,-27.14,-27.14,0.0,0.0,0.9978
BKS_-_Bulldozer,delay_l4,-27.14,-25.03,-2.11,0.0,0.9871
BKS_-_Bulldozer,bitcrush_l1,-27.14,-27.14,0.0,0.0,0.9979
BKS_-_Bulldozer,bitcrush_l2,-27.14,-27.14,0.0,0.0,0.9979
BKS_-_Bulldozer,bitcrush_l3,-27.14,-27.14,-0.0,0.0,0.9959
BKS_-_Bulldozer,bitcrush_l4,-27.14,-27.06,-0.08,0.0,0.9941
BKS_-_Too_Much,original,-25.48,-25.48,0.0,0.0,0.9556
BKS_-_Too_Much,reverb_l1,-25.48,-26.6,1.12,0.0,0.9655
BKS_-_Too_Much,reverb_l2,-25.48,-25.69,0.21,0.0,0.9457
BKS_-_Too_Much,reverb_l3,-25.48,-21.27,-4.22,0.0,0.971
BKS_-_Too_Much,reverb_l4,-25.48,-16.89,-8.59,0.0,0.9644
BKS_-_Too_Much,delay_l1,-25.48,-24.86,-0.62,0.0,0.9424
BKS_-_Too_Much,delay_l2,-25.48,-24.29,-1.19,0.0,0.9233
BKS_-_Too_Much,delay_l3,-25.48,-23.8,-1.68,0.0,0.9176
BKS_-_Too_Much,delay_l4,-25.48,-23.37,-2.11,0.0,0.9728
BKS_-_Too_Much,bitcrush_l1,-25.48,-25.48,0.0,0.0,0.9521
BKS_-_Too_Much,bitcrush_l2,-25.48,-25.48,0.0,0.0,0.953
BKS_-_Too_Much,bitcrush_l3,-25.48,-25.48,0.0,0.0,0.949
BKS_-_Too_Much,bitcrush_l4,-25.48,-25.43,-0.05,0.0,0.9634
BKS_-_Too_Much,compression_l1,-25.48,-27.46,1.98,0.0,0.9503
BKS_-_Too_Much,compression_l2,-25.48,-30.94,5.46,0.0,0.9515
BKS_-_Too_Much,compression_l3,-25.48,-31.16,5.68,0.0,0.9725
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,original,-29.25,-29.25,0.0,0.0,0.9919
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l1,-29.25,-29.43,0.18,0.0,0.9954
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l2,-29.25,-24.91,-4.35,0.0,0.9523
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l3,-29.25,-18.95,-10.3,0.0,0.9208
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,reverb_l4,-29.25,-14.4,-14.85,0.0,0.909
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l1,-29.25,-28.74,-0.52,0.0,0.9792
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l2,-29.25,-28.01,-1.25,0.0,0.9923
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l4,-29.25,-27.1,-2.16,0.0,0.9873
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l1,-29.25,-29.26,0.01,0.0,0.9922
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l2,-29.25,-29.26,0.01,0.0,0.9922
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l3,-29.25,-29.25,-0.0,0.0,0.9901
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,bitcrush_l4,-29.25,-29.13,-0.12,0.0,0.9884
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l1,-29.25,-30.25,0.99,0.0,0.979
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l2,-29.25,-32.32,3.07,0.0,0.9594
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l3,-29.25,-31.79,2.54,0.0,0.9485
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,compression_l4,-29.25,-33.13,3.88,0.0,0.9447
Bobby_Nobody_-_Stitch_Up,original,-27.16,-27.16,0.0,0.0,0.9975
Bobby_Nobody_-_Stitch_Up,reverb_l1,-27.16,-28.33,1.17,0.0,0.9747
Bobby_Nobody_-_Stitch_Up,reverb_l2,-27.16,-27.69,0.53,0.0,0.9212
Bobby_Nobody_-_Stitch_Up,reverb_l3,-27.16,-23.42,-3.74,0.0,0.917
Bobby_Nobody_-_Stitch_Up,reverb_l4,-27.16,-19.05,-8.1,0.0,0.917
Bobby_Nobody_-_Stitch_Up,delay_l2,-27.16,-25.94,-1.22,0.0,0.9798
Bobby_Nobody_-_Stitch_Up,delay_l3,-27.16,-25.46,-1.7,0.0,0.9647
Bobby_Nobody_-_Stitch_Up,delay_l4,-27.16,-25.01,-2.15,0.0,0.9619
Bobby_Nobody_-_Stitch_Up,bitcrush_l1,-27.16,-27.16,0.0,0.0,0.9973
Bobby_Nobody_-_Stitch_Up,bitcrush_l2,-27.16,-27.16,0.0,0.0,0.9968
Bobby_Nobody_-_Stitch_Up,bitcrush_l3,-27.16,-27.15,-0.0,0.0,0.9987
Bobby_Nobody_-_Stitch_Up,bitcrush_l4,-27.16,-27.06,-0.1,0.0,0.9949
Bobby_Nobody_-_Stitch_Up,compression_l1,-27.16,-28.42,1.26,0.0,0.9884
Bobby_Nobody_-_Stitch_Up,compression_l2,-27.16,-30.84,3.69,0.0,0.9695
Bobby_Nobody_-_Stitch_Up,compression_l3,-27.16,-30.49,3.34,0.0,0.9596
Buitraker_-_Revo_X,reverb_l1,-27.72,-28.86,1.14,0.0,0.9951
Buitraker_-_Revo_X,reverb_l2,-27.72,-28.19,0.47,0.0,0.9983
Buitraker_-_Revo_X,delay_l1,-27.72,-27.08,-0.63,0.0,0.9913
Buitraker_-_Revo_X,delay_l3,-27.72,-26.05,-1.67,0.0,0.967
Buitraker_-_Revo_X,delay_l4,-27.72,-25.58,-2.14,0.0,0.9924
Buitraker_-_Revo_X,compression_l1,-27.72,-28.78,1.06,0.0,0.9951
Buitraker_-_Revo_X,compression_l2,-27.72,-31.16,3.44,0.0,0.9869
Carlos_Gonzalez_-_A_Place_For_Us,delay_l1,-23.46,-22.75,-0.7,0.0,0.9896
Carlos_Gonzalez_-_A_Place_For_Us,delay_l2,-23.46,-22.25,-1.21,0.0,0.9755
Carlos_Gonzalez_-_A_Place_For_Us,delay_l4,-23.46,-21.35,-2.11,0.0,0.9284
Carlos_Gonzalez_-_A_Place_For_Us,bitcrush_l1,-23.46,-23.46,0.0,0.0,0.9761
Carlos_Gonzalez_-_A_Place_For_Us,bitcrush_l2,-23.46,-23.46,0.0,0.0,0.9756
Carlos_Gonzalez_-_A_Place_For_Us,bitcrush_l3,-23.46,-23.46,-0.0,0.0,0.9735
Carlos_Gonzalez_-_A_Place_For_Us,bitcrush_l4,-23.46,-23.41,-0.05,0.0,0.9642
Cristina_Vane_-_So_Easy,original,-24.38,-24.38,0.0,0.0,0.9951
Cristina_Vane_-_So_Easy,reverb_l1,-24.38,-25.47,1.08,0.0,0.9937
Cristina_Vane_-_So_Easy,reverb_l2,-24.38,-24.81,0.43,0.0,0.9653
Cristina_Vane_-_So_Easy,reverb_l3,-24.38,-20.73,-3.65,0.0,0.9311
Cristina_Vane_-_So_Easy,reverb_l4,-24.38,-16.46,-7.92,0.0,0.927
Cristina_Vane_-_So_Easy,delay_l1,-24.38,-23.84,-0.54,0.0,0.9495
Cristina_Vane_-_So_Easy,delay_l2,-24.38,-23.21,-1.17,0.0,0.94
Cristina_Vane_-_So_Easy,delay_l3,-24.38,-22.75,-1.63,0.0,0.9648
Cristina_Vane_-_So_Easy,delay_l4,-24.38,-22.26,-2.12,0.0,0.9615
Cristina_Vane_-_So_Easy,compression_l1,-24.38,-26.39,2.0,0.0,0.9868
Cristina_Vane_-_So_Easy,compression_l2,-24.38,-29.96,5.58,0.0,0.9565
Cristina_Vane_-_So_Easy,compression_l3,-24.38,-30.25,5.86,0.0,0.9349
Detsky_Sad_-_Walkie_Talkie,original,-26.89,-26.89,0.0,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,reverb_l1,-26.89,-28.1,1.21,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,reverb_l2,-26.89,-27.7,0.81,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,reverb_l3,-26.89,-23.63,-3.26,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,reverb_l4,-26.89,-19.28,-7.61,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,delay_l1,-26.89,-26.25,-0.64,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,delay_l2,-26.89,-25.71,-1.18,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,delay_l3,-26.89,-25.22,-1.67,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,delay_l4,-26.89,-24.76,-2.13,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,bitcrush_l1,-26.89,-26.89,0.0,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,bitcrush_l2,-26.89,-26.89,0.0,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,bitcrush_l3,-26.89,-26.89,-0.0,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,bitcrush_l4,-26.89,-26.86,-0.03,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,compression_l1,-26.89,-29.41,2.52,0.0,0.9952
Detsky_Sad_-_Walkie_Talkie,compression_l2,-26.89,-33.69,6.8,0.0,0.9952
Enda_Reilly_-_Cur_An_Long_Ag_Seol,original,-23.58,-23.58,0.0,0.0,0.9796
Enda_Reilly_-_Cur_An_Long_Ag_Seol,reverb_l1,-23.58,-24.44,0.86,0.0,0.9842
Enda_Reilly_-_Cur_An_Long_Ag_Seol,reverb_l2,-23.58,-22.23,-1.35,-0.747,0.999
Enda_Reilly_-_Cur_An_Long_Ag_Seol,reverb_l3,-23.58,-17.07,-6.51,-1.172,0.999
Enda_Reilly_-_Cur_An_Long_Ag_Seol,reverb_l4,-23.58,-12.61,-10.97,-1.289,0.999
Enda_Reilly_-_Cur_An_Long_Ag_Seol,delay_l1,-23.58,-23.02,-0.56,0.0,0.9802
Enda_Reilly_-_Cur_An_Long_Ag_Seol,delay_l2,-23.58,-22.42,-1.16,-0.289,0.999
Enda_Reilly_-_Cur_An_Long_Ag_Seol,delay_l3,-23.58,-21.88,-1.71,0.0,0.9803
Enda_Reilly_-_Cur_An_Long_Ag_Seol,delay_l4,-23.58,-21.49,-2.09,-0.181,0.999
Enda_Reilly_-_Cur_An_Long_Ag_Seol,bitcrush_l1,-23.58,-23.59,0.0,0.0,0.9728
Enda_Reilly_-_Cur_An_Long_Ag_Seol,bitcrush_l2,-23.58,-23.59,0.0,0.0,0.9723
Enda_Reilly_-_Cur_An_Long_Ag_Seol,bitcrush_l3,-23.58,-23.58,0.0,0.0,0.9703
Enda_Reilly_-_Cur_An_Long_Ag_Seol,bitcrush_l4,-23.58,-23.54,-0.04,0.0,0.9861
Enda_Reilly_-_Cur_An_Long_Ag_Seol,compression_l1,-23.58,-25.89,2.31,0.0,0.9509
Enda_Reilly_-_Cur_An_Long_Ag_Seol,compression_l2,-23.58,-29.75,6.17,0.0,0.9396
Enda_Reilly_-_Cur_An_Long_Ag_Seol,compression_l3,-23.58,-30.02,6.43,-1.931,0.999
Enda_Reilly_-_Cur_An_Long_Ag_Seol,compression_l4,-23.58,-31.67,8.09,-3.007,0.999
Ben_Carrigan_-_We'll_Talk_About_It_All_Tonight,delay_l3,-29.25,-27.48,-1.77,-0.357,0.999
AM_Contra_-_Heart_Peripheral,delay_l1,-24.63,-24.05,-0.58,-0.552,0.999
AM_Contra_-_Heart_Peripheral,bitcrush_l1,-24.63,-24.64,0.0,-0.026,0.999
AM_Contra_-_Heart_Peripheral,bitcrush_l2,-24.63,-24.64,0.0,-0.026,0.999
AM_Contra_-_Heart_Peripheral,bitcrush_l3,-24.63,-24.63,-0.0,-0.042,0.999
BKS_-_Too_Much,compression_l4,-25.48,-32.73,7.25,-1.669,0.999
Bobby_Nobody_-_Stitch_Up,delay_l1,-27.16,-26.53,-0.63,-0.095,0.999
Bobby_Nobody_-_Stitch_Up,compression_l4,-27.16,-31.89,4.73,-1.645,0.999
Cristina_Vane_-_So_Easy,bitcrush_l1,-24.38,-24.38,0.0,-0.037,0.999
Cristina_Vane_-_So_Easy,bitcrush_l2,-24.38,-24.38,0.0,-0.028,0.999
Cristina_Vane_-_So_Easy,bitcrush_l3,-24.38,-24.38,-0.0,-0.027,0.999
Cristina_Vane_-_So_Easy,bitcrush_l4,-24.38,-24.33,-0.05,-0.144,0.999
Cristina_Vane_-_So_Easy,compression_l4,-24.38,-31.79,7.41,-0.67,0.999
Detsky_Sad_-_Walkie_Talkie,compression_l3,-26.89,-34.33,7.44,-2.162,0.999
Detsky_Sad_-_Walkie_Talkie,compression_l4,-26.89,-35.73,8.84,-7.214,0.999
Angels_In_Amplifiers_-_I'm_Alright,original,-22.91,-22.91,0.0,-0.025,0.999
Angels_In_Amplifiers_-_I'm_Alright,reverb_l1,-22.91,-24.04,1.13,-0.057,0.999
Angels_In_Amplifiers_-_I'm_Alright,compression_l2,-22.91,-29.72,6.81,-0.024,0.999
Angels_In_Amplifiers_-_I'm_Alright,compression_l3,-22.91,-30.21,7.3,-2.275,0.999
Angels_In_Amplifiers_-_I'm_Alright,compression_l4,-22.91,-31.72,8.81,-6.694,0.999
Al_James_-_Schoolboy_Facination,reverb_l1,-22.8,-23.78,0.99,-0.009,0.999
Al_James_-_Schoolboy_Facination,reverb_l2,-22.8,-22.43,-0.37,-0.922,0.999
Al_James_-_Schoolboy_Facination,reverb_l3,-22.8,-17.78,-5.01,-2.466,0.999
Al_James_-_Schoolboy_Facination,reverb_l4,-22.8,-13.41,-9.39,-2.678,0.999
Al_James_-_Schoolboy_Facination,delay_l1,-22.8,-22.17,-0.63,-0.001,0.999
Al_James_-_Schoolboy_Facination,compression_l3,-22.8,-28.97,6.18,-2.183,0.999
Al_James_-_Schoolboy_Facination,compression_l4,-22.8,-30.64,7.85,-5.559,0.999
Arise_-_Run_Run_Run,reverb_l1,-25.35,-26.31,0.96,-0.009,0.999
Arise_-_Run_Run_Run,reverb_l2,-25.35,-23.8,-1.55,-1.598,0.999
Arise_-_Run_Run_Run,reverb_l3,-25.35,-18.32,-7.03,-2.024,0.999
Arise_-_Run_Run_Run,reverb_l4,-25.35,-13.77,-11.58,-2.029,0.999
Arise_-_Run_Run_Run,delay_l1,-25.35,-24.8,-0.55,-0.034,0.999
Arise_-_Run_Run_Run,delay_l2,-25.35,-24.17,-1.18,-0.094,0.999
Arise_-_Run_Run_Run,delay_l3,-25.35,-23.63,-1.72,-0.195,0.999
Arise_-_Run_Run_Run,delay_l4,-25.35,-23.18,-2.16,-0.134,0.999
Arise_-_Run_Run_Run,compression_l2,-25.35,-30.39,5.04,-0.054,0.999
Arise_-_Run_Run_Run,compression_l3,-25.35,-30.61,5.26,-0.747,0.999
Arise_-_Run_Run_Run,compression_l4,-25.35,-32.16,6.82,-2.934,0.999
Buitraker_-_Revo_X,original,-27.72,-27.72,0.0,-0.032,0.999
Buitraker_-_Revo_X,reverb_l3,-27.72,-23.98,-3.74,-0.089,0.999
Buitraker_-_Revo_X,reverb_l4,-27.72,-19.64,-8.08,-0.082,0.999
Buitraker_-_Revo_X,delay_l2,-27.72,-26.51,-1.21,-0.305,0.999
Buitraker_-_Revo_X,bitcrush_l1,-27.72,-27.72,0.0,-0.099,0.999
Buitraker_-_Revo_X,bitcrush_l2,-27.72,-27.72,0.0,-0.095,0.999
Buitraker_-_Revo_X,bitcrush_l3,-27.72,-27.71,-0.01,-0.077,0.999
Buitraker_-_Revo_X,bitcrush_l4,-27.72,-27.6,-0.12,-0.197,0.999
Buitraker_-_Revo_X,compression_l3,-27.72,-30.89,3.17,-0.126,0.999
Buitraker_-_Revo_X,compression_l4,-27.72,-32.27,4.55,-3.198,0.999
Hollow_Ground_-_Ill_Fate,original,-28.46,-28.46,0.0,-0.037,0.999
Hollow_Ground_-_Ill_Fate,reverb_l1,-28.46,-29.5,1.04,0.0,0.9897
Hollow_Ground_-_Ill_Fate,reverb_l2,-28.46,-28.45,-0.01,0.0,0.99
Hollow_Ground_-_Ill_Fate,reverb_l3,-28.46,-24.04,-4.43,0.0,0.9845
Hollow_Ground_-_Ill_Fate,reverb_l4,-28.46,-19.7,-8.76,0.0,0.9778
Hollow_Ground_-_Ill_Fate,delay_l1,-28.46,-27.82,-0.64,-0.123,0.999
Hollow_Ground_-_Ill_Fate,delay_l2,-28.46,-27.31,-1.16,0.0,0.9939
Hollow_Ground_-_Ill_Fate,delay_l3,-28.46,-26.77,-1.69,0.0,0.9976
Hollow_Ground_-_Ill_Fate,delay_l4,-28.46,-26.34,-2.12,0.0,0.9882
Hollow_Ground_-_Ill_Fate,bitcrush_l1,-28.46,-28.47,0.01,-0.037,0.999
Hollow_Ground_-_Ill_Fate,bitcrush_l2,-28.46,-28.47,0.01,-0.037,0.999
Hollow_Ground_-_Ill_Fate,bitcrush_l3,-28.46,-28.46,-0.0,-0.037,0.999
Hollow_Ground_-_Ill_Fate,bitcrush_l4,-28.46,-28.38,-0.08,0.0,0.9948
Hollow_Ground_-_Ill_Fate,compression_l1,-28.46,-29.68,1.22,-0.047,0.999
Hollow_Ground_-_Ill_Fate,compression_l2,-28.46,-32.33,3.86,-0.045,0.999
Hollow_Ground_-_Ill_Fate,compression_l3,-28.46,-32.02,3.56,-0.032,0.999
Hollow_Ground_-_Ill_Fate,compression_l4,-28.46,-33.29,4.83,-0.043,0.999
Carlos_Gonzalez_-_A_Place_For_Us,original,-23.46,-23.46,0.0,-0.063,0.999
Carlos_Gonzalez_-_A_Place_For_Us,reverb_l1,-23.46,-24.24,0.78,-0.226,0.999
Carlos_Gonzalez_-_A_Place_For_Us,reverb_l2,-23.46,-22.13,-1.32,-3.047,0.999
Carlos_Gonzalez_-_A_Place_For_Us,reverb_l3,-23.46,-17.14,-6.32,-4.209,0.999
Carlos_Gonzalez_-_A_Place_For_Us,reverb_l4,-23.46,-12.74,-10.72,-4.329,0.999
Carlos_Gonzalez_-_A_Place_For_Us,delay_l3,-23.46,-21.8,-1.66,-0.167,0.999
Carlos_Gonzalez_-_A_Place_For_Us,compression_l1,-23.46,-25.74,2.28,-0.257,0.999
Carlos_Gonzalez_-_A_Place_For_Us,compression_l2,-23.46,-29.6,6.14,-0.451,0.999
Carlos_Gonzalez_-_A_Place_For_Us,compression_l3,-23.46,-29.97,6.51,-0.407,0.999
Carlos_Gonzalez_-_A_Place_For_Us,compression_l4,-23.46,-31.61,8.15,-2.861,0.999
Forkupines_-_Semantics,original,-26.36,-26.36,0.0,0.0,0.9889
Forkupines_-_Semantics,reverb_l1,-26.36,-27.5,1.13,-0.18,0.999
Forkupines_-_Semantics,reverb_l2,-26.36,-27.19,0.83,-0.436,0.999
Forkupines_-_Semantics,reverb_l3,-26.36,-23.44,-2.92,-0.591,0.999
Forkupines_-_Semantics,reverb_l4,-26.36,-19.22,-7.14,-0.486,0.999
Forkupines_-_Semantics,delay_l1,-26.36,-25.75,-0.61,-0.14,0.999
Forkupines_-_Semantics,delay_l2,-26.36,-25.19,-1.18,-0.149,0.999
Forkupines_-_Semantics,delay_l3,-26.36,-24.68,-1.68,-0.638,0.999
Forkupines_-_Semantics,delay_l4,-26.36,-24.26,-2.1,-0.039,0.999
Forkupines_-_Semantics,bitcrush_l1,-26.36,-26.37,0.0,-0.474,0.999
Forkupines_-_Semantics,bitcrush_l2,-26.36,-26.37,0.0,-0.466,0.999
Forkupines_-_Semantics,bitcrush_l3,-26.36,-26.36,0.0,-0.497,0.999
Forkupines_-_Semantics,bitcrush_l4,-26.36,-26.32,-0.04,-0.422,0.999
Forkupines_-_Semantics,compression_l1,-26.36,-28.58,2.21,0.0,0.9782
Forkupines_-_Semantics,compression_l2,-26.36,-32.51,6.14,0.0,0.9581
Forkupines_-_Semantics,compression_l3,-26.36,-33.02,6.66,-0.976,0.999
Forkupines_-_Semantics,compression_l4,-26.36,-34.48,8.12,-6.424,0.999
BKS_-_Bulldozer,reverb_l1,-27.14,-28.25,1.11,-0.031,0.999
BKS_-_Bulldozer,reverb_l2,-27.14,-27.27,0.14,-0.511,0.999
BKS_-_Bulldozer,reverb_l3,-27.14,-22.79,-4.34,-0.658,0.999
BKS_-_Bulldozer,reverb_l4,-27.14,-18.41,-8.73,-0.584,0.999
BKS_-_Bulldozer,delay_l1,-27.14,-26.51,-0.63,-0.058,0.999
BKS_-_Bulldozer,delay_l2,-27.14,-25.94,-1.2,-0.132,0.999
BKS_-_Bulldozer,delay_l3,-27.14,-25.44,-1.7,-0.112,0.999
BKS_-_Bulldozer,compression_l1,-27.14,-28.57,1.43,-0.064,0.999
BKS_-_Bulldozer,compression_l2,-27.14,-31.49,4.35,-0.212,0.999
BKS_-_Bulldozer,compression_l3,-27.14,-31.51,4.37,-0.316,0.999
BKS_-_Bulldozer,compression_l4,-27.14,-32.98,5.84,-0.784,0.999
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,original,-24.06,-24.06,0.0,0.0,0.9975
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,reverb_l1,-24.06,-25.15,1.09,-0.093,0.999
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,reverb_l2,-24.06,-24.39,0.33,0.0,0.9454
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,reverb_l3,-24.06,-20.17,-3.89,0.0,0.914
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,reverb_l4,-24.06,-15.85,-8.21,0.0,0.9674
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,delay_l1,-24.06,-23.45,-0.61,0.0,0.9537
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,delay_l2,-24.06,-22.81,-1.25,0.0,0.9545
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,delay_l3,-24.06,-22.33,-1.73,0.0,0.9262
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,delay_l4,-24.06,-21.88,-2.18,-0.057,0.999
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,bitcrush_l1,-24.06,-24.06,0.0,0.0,0.9827
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,bitcrush_l2,-24.06,-24.06,0.0,0.0,0.9822
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,bitcrush_l3,-24.06,-24.06,-0.0,0.0,0.986
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,bitcrush_l4,-24.06,-24.0,-0.06,0.0,0.9758
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,compression_l1,-24.06,-26.46,2.41,0.0,0.9613
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,compression_l2,-24.06,-30.02,5.96,0.0,0.8823
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,compression_l3,-24.06,-30.07,6.01,0.0,0.9225
James_Elder_&_Mark_M_Thompson_-_The_English_Actor,compression_l4,-24.06,-31.62,7.56,-0.437,0.999
Girls_Under_Glass_-_We_Feel_Alright,original,-29.28,-29.28,0.0,-0.032,0.999
Girls_Under_Glass_-_We_Feel_Alright,reverb_l1,-29.28,-29.41,0.13,0.0,0.9856
Girls_Under_Glass_-_We_Feel_Alright,reverb_l2,-29.28,-24.9,-4.38,-0.312,0.999
Girls_Under_Glass_-_We_Feel_Alright,reverb_l3,-29.28,-18.98,-10.3,-0.674,0.999
Girls_Under_Glass_-_We_Feel_Alright,reverb_l4,-29.28,-14.44,-14.84,-0.707,0.999
Girls_Under_Glass_-_We_Feel_Alright,delay_l1,-29.28,-28.65,-0.63,0.0,0.9733
